Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos;VariaçãoPatrimonial
VGIR11;Títulos e Val. Mob.;100,10;8626;1,20;1,18;3,45;5,88;9,75;1,15;0,98;0,81;3,45;0,51;1,69;3,18;535719360,76;97,04;1,03;1,24;1,27;2,42;0;0;0;0,03
VIFI11;Títulos e Val. Mob.;7,05;21515;0,06;0,83;2,58;5,14;9,76;0,86;0,86;0,81;3,43;1,13;1,97;-2,75;249591606,06;88,75;0,08;0,74;1,82;0,83;0;0;0;1,07
VOTS11;Títulos e Val. Mob.;92,34;91;1,35;1,44;4,05;6,87;11,2;1,35;1,14;0,93;5,1;8,85;10,42;17,08;80958163,23;97,79;0,94;1,38;1,46;4,69;0;0;0;0,08
VRTA11;Títulos e Val. Mob.;99,03;25231;1,20;1,17;3,46;7,01;12,88;1,15;1,17;1,07;4,65;-1,8;-0,65;2,23;1254344529,49;97,21;1,02;1,18;2,55;5,02;0;0;0;1,35
XPCA11;Títulos e Val. Mob.;10,19;61559;0,14;1,35;3,9;0;0;1,3;0;0;4,94;5,38;6,8;12,97;134472608,37;9,54;1,07;1,47;1,43;5,11;0;0;0;-0,04
APTO11;Híbrido;10,28;188;0,12;1,15;3,2;0;0;1,07;0;0;4,09;0,97;2,14;7,25;39281267,36;9,79;1,05;1,12;1,43;1,66;0;0;0;0,3
BIME11;Outros;9,63;9673;0,14;1,45;3,91;0;0;1,3;0;0;4,95;4,78;6,3;4,71;55661575,95;9,52;1,01;1,26;1,32;1,69;0;0;0;0,05
BLMC11;Outros;97,11;17;1,15;1,17;3,41;6,8;11,15;1,14;1,13;0,93;3,41;-0,38;0,79;3,33;39216529,56;98,16;0,99;1,17;2,48;0,96;0;0;0;1,29
BRLA11;Híbrido;145,00;3222;1,05;0,74;2,06;4,07;4,07;0,69;0,68;0,34;2,06;-3,34;-2,63;-2,66;285260278,84;159,29;0,91;0,66;0,28;0,89;0;0;0;-0,38
BTRA11;Outros;99,90;7507;0,94;0,92;2,74;5,54;0;0,91;0,92;0;2,74;2,65;3,59;7,18;347612245,52;103,32;0,97;0,91;0,91;2,67;0;0;0;0
BTSG11;Híbrido;0,00;0;0,78;0,00;0;0;0;0;0;0;0;0;0;0;103259336,82;133,24;0;0,59;0,59;2,38;0;0;0;0
CACR11;Híbrido;105,25;9873;1,50;1,39;4,09;8,38;15,15;1,36;1,4;1,26;5,49;-0,78;0,6;6,04;156186299,41;103,15;1,02;1,45;1,79;7,44;0;0;0;0,33
CARE11;Híbrido;5,14;1315055;0,00;0,23;0,66;1,36;1,6;0,22;0,23;0,13;1,36;-2,63;-2,41;5,65;292055346,66;8,16;0,63;0;0;0;0;0;0;0
CORM11;Híbrido;92,50;38;0,81;0,85;2,56;5,7;0;0,85;0,95;0;2,56;-0,23;0,62;2,34;94319594,07;92,71;1;0,87;0,2;1,69;0;0;0;-0,66
CPFF11;Híbrido;69,30;15263;0,60;0,85;2,58;5,09;10,51;0,86;0,85;0,88;3,57;-1,14;-0,31;2,73;421166070,61;77,28;0,9;0,78;-0,07;0,84;0;0;0;-0,84
CXAG11;Outros;77,10;2770;0,75;0,99;0;0;0;0;0;0;0,99;0;0,99;0,99;214207164,56;102,46;0,75;0;0;0;0;0;0;0
CXCI11;Outros;79,02;475;0,70;0,80;0;0;0;0;0;0;0,8;0;0,8;0,8;200991074,86;97,68;0,81;0,72;0,65;0,96;0;0;0;-0,07
CXCO11;Lajes Corporativas;76,75;1605;0,73;0,94;2,64;5,16;9,31;0,88;0,86;0,78;3,44;0,65;1,59;-0,64;376812656,58;96,02;0,8;0,68;0,61;1,89;0;0;0;-0,07
CXRI11;Híbrido;62,60;692;0,53;0,83;2,4;4,6;8,07;0,8;0,77;0,67;3,13;-1,89;-1,07;-4,38;134511554,67;85,36;0,73;0,62;2,1;3,17;0;0;0;1,47
DVFF11;Híbrido;71,75;2608;0,75;1,07;2,87;5,35;0;0,96;0,89;0;3,67;-4,12;-3,09;-17,46;100664467,06;91,43;0,78;0,77;1,56;1,77;0;0;0;0,79
ERCR11;Híbrido;76.000,00;1;967,38;0,00;0;0;0;0;0;0;0;0;0;0;166673732,55;70148,88;1,08;0,98;-0,72;0,17;0;0;0;-1,68
ERPA11;Outros;126,39;17;0,31;0,24;0;0;0;0;0;0;0,24;0;0,24;0,24;57669849,08;115,13;1,1;0;0;0;0;0;0;0
FISC11;Lajes Corporativas;165,00;200;0,22;0,00;0;0;0;0;0;0;0;0;0;0;258447901,09;152,03;1,09;0;0;0;0;0;0;0
GAME11;Híbrido;10,15;2943;0,14;1,38;3,69;5,84;0;1,23;0,97;0;4,8;-1,74;-0,39;-2,75;204099024,30;9,91;1,02;1,31;-89,86;-89,59;0;0;0;-89,99
GCRA11;Híbrido;104,99;1455;1,57;1,48;0;0;0;0;0;0;3,95;1,88;3,39;5,96;71169336,82;98,49;1,07;1,47;1,83;2,96;0;0;0;0,36
GESE11B;Outros;1.520,00;300;12,60;0,00;0;0;0;0;0;0;0;0;0;0;86544906,98;1664,33;0,91;0;0;0;0;0;0;0
GTLG11;Outros;99,99;35080;0,70;0,70;2,1;4,21;0;0,7;0,7;0;2,81;0;0,7;4,4;693451892,75;96,68;1,03;0,72;-0,13;0,85;0;0;0;-0,85
HCHG11;Outros;81,96;3588;0,88;1,06;2,93;5,57;0;0,98;0,93;0;3,83;-6,65;-5,66;-3,13;122704091,56;102,25;0,8;0,83;4,87;7,52;0;0;0;4
HCTR11;Outros;102,42;79904;1,75;1,65;3,97;7,82;15,45;1,32;1,3;1,29;5,25;-11,2;-9,74;-10,57;2438081475,90;120,03;0,85;1,17;1,79;5,85;0;0;0;0,62
HGRS11;Residencial;0,00;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;109144193,09;91,38;0;0;0;0;0;0;0;0
HUSC11;Outros;90,50;279;0,88;0,96;1,98;3,33;7,08;0,66;0,56;0,59;2,34;-7,27;-6,38;-16,03;113598236,08;142,96;0,63;0,38;0,56;1,4;0;0;0;0,18
IDFI11;Híbrido;85,00;18;1,30;1,32;3,47;0;0;1,16;0;0;5,2;-3,99;-2,72;1,11;195653021,90;95,07;0,89;1,21;-5,36;-3,72;0;0;0;-6,5
IRIM11;Híbrido;109,90;2102;1,51;1,37;4,06;7,88;0;1,35;1,31;0;5,32;-2,4;-1,06;4,38;130503385,72;100,39;1,09;1,14;0,73;2,13;0;0;0;-0,4
JGPX11;Híbrido;98,58;3298;1,25;1,25;3,58;0;0;1,19;0;0;4,67;2,22;3,5;7,73;81402044,14;95,98;1,03;1,25;2,11;4,53;0;0;0;0,85
KINP11;Residencial;12,79;644;0,37;2,90;7,33;0;0;2,44;0;0;9,82;0;2,9;0,75;48585458,78;6,80;1,88;5,45;2,7;14,03;0;0;0;-2,61
KNRE11;Residencial;0,91;401;0,00;0,00;0;0;0;0;0;0;0;0;0;0;23077866,89;1,24;0,73;0;0;0;0;0;0;0
MFAI11;Híbrido;77,53;951;0,44;0,53;3,55;7,09;11,84;1,18;1,18;0,99;4,86;11,38;11,96;16,86;24423286,09;80,56;0,96;1,79;2,97;1,01;0;0;0;1,16
MGHT11;Hotel;78,88;34;0,80;0,97;2,81;5,54;9,7;0,94;0,92;0,81;2,81;-3,2;-2,26;-3,43;129777732,57;98,78;0,8;0,81;0,99;1,81;0;0;0;0,18
MXRF11;Híbrido;9,66;485491;0,11;1,11;3,18;5,87;10,39;1,06;0,98;0,87;4,16;8,86;10,07;13,97;2302693543,19;10,19;0,95;0,98;0,96;2,22;0;0;0;-0,02
NVIF11B;Outros;0,00;0;0,44;0,00;0;0;0;0;0;0;0;0;0;0;85454098,04;253,27;0;0,18;-0,73;-0,5;0;0;0;-0,9
PLCR11;Híbrido;85,96;2274;1,10;1,26;3,63;7,16;12,96;1,21;1,19;1,08;4,81;0,49;1,76;3,81;195397507,06;92,64;0,93;1,13;2,3;3,48;0;0;0;1,16
QAMI11;Híbrido;94,30;849;1,24;1,29;3,66;8,13;14,93;1,22;1,35;1,24;4,93;1,34;2,65;1,31;73014293,72;91,11;1,04;1,15;2,48;3,92;0;0;0;1,31
RBDS11;Residencial;3,24;43;0,00;0,00;0;0;0;0;0;0;0;0;0;0;3177063,10;25,11;0,13;0;0;0;0;0;0;0
RBIR11;Residencial;69,76;16;0,00;0,00;0;0;0;0;0;0;0;0;0;0;146990860,56;96,16;0,73;0;0;0;0;0;0;0
RBRS11;Híbrido;61,90;40;0,44;0,70;2,07;3,98;7,43;0,69;0,66;0,62;2,69;4,72;5,46;-4,66;130087840,67;93,60;0,66;0,46;0,52;1,47;0;0;0;0,06
RBVO11;Outros;12,20;306;0,04;0,32;1,02;2,03;3,98;0,34;0,34;0,33;1,39;-0,32;0;2,55;12073448,38;23,41;0,52;0,17;0,96;3,45;0;0;0;0,79
RECX11;Outros;79,79;2219;0,80;0,86;3,07;6,32;0;1,02;1,05;0;3,07;7,19;8,11;0,88;18909897,31;86,62;0,92;0,92;-0,64;0,48;0;0;0;-1,55
SPVJ11;Outros;0,00;0;0,66;0,00;0;0;0;0;0;0;0;0;0;0;678631040,38;107,51;0;0,64;0,54;1,73;0;0;0;-0,1
STRX11;Híbrido;0,00;0;0,71;0,00;0;0;0;0;0;0;0;0;0;0;226875484,50;140,61;0;0,5;0,37;1,88;0;0;0;-0,13
TGAR11;Outros;116,04;26494;1,44;1,20;3,4;6,42;11,6;1,13;1,07;0,97;4,35;5,29;6,56;1,97;1470891440,20;130,06;0,89;0,98;0,15;1,56;0;0;0;-0,82
TORD11;Outros;9,01;83931;0,12;1,29;2,81;5,28;11,05;0,94;0,88;0,92;3,64;0,98;2,29;-0,39;473198209,20;13,50;0,67;0,44;0,87;1,81;0;0;0;0,42
URPR11;Outros;105,50;29083;1,84;1,72;4,53;9,11;18,42;1,51;1,52;1,53;5,88;-8,47;-6,89;-5,71;541633525,58;98,14;1,07;1,68;2,64;7,87;0;0;0;0,94
VCRR11;Residencial;74,51;95;0,67;0,87;2,72;5,4;0;0,91;0,9;0;3,58;8,99;9,93;2,83;239430002,51;119,72;0,62;0,56;0,64;1,75;0;0;0;0,08
VGIP11;Outros;99,60;30846;1,40;1,39;3,85;8,3;14,47;1,28;1,38;1,21;3,85;-0,28;1,11;3,63;895368303,77;96,34;1,03;1,45;3,82;5,27;0;0;0;2,34
VJFD11;Híbrido;0,00;0;0,86;0,00;0;0;0;0;0;0;0;0;0;0;650832281,07;133,47;0;0;0;0;0;0;0;0
VSLH11;Outros;8,99;130153;0,11;1,18;3,65;7,07;15,36;1,22;1,18;1,28;4,77;-2,4;-1,25;0,56;299030177,86;10,01;0,9;1,16;2,08;4,75;0;0;0;0,91
WTSP11B;Híbrido;38,45;20;0,32;0,76;2,57;4,67;6,85;0,86;0,78;0,57;0,76;0;0,76;0,76;78336432,25;78,92;0,49;0,4;1,09;5,11;0;0;0;0,69
XPCI11;Outros;95,04;17686;1,18;1,22;3,56;6,69;12,53;1,19;1,12;1,04;4,68;1,21;2,45;3,65;663963154,17;96,40;0,99;1,17;2,73;4,87;0;0;0;1,54
XPSF11;Outros;7,00;162191;0,68;0,93;2,8;5,45;10,43;0,93;0,91;0,87;3,61;4,91;5,88;-4,19;378789954,58;87,48;0,08;0,78;1,95;2,34;0;0;0;1,16
