Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
CNES11,Lajes Corporativas,75.5,0.0,0.1158,0.1484,0.0997,0.1935,0.2433,2.9196,-0.5102,-0.3625,-20.093,277435808.81,94.07,80.26,59.8,1
CPTS11B,Títulos e Val. Mob.,102.0,3533.0,0.65,0.6325,0.8476,0.8166,0.7948,0.6325,0.0,0.6325,0.6325,152072030.44,96.38,105.83,5.715,0
CXCE11B,Outros,2228.0,17.0,19.4182,0.8553,0.8504,0.8817,0.8219,0.8553,0.0,0.8553,0.8553,158258677.87,2309.74,96.46,5.715,1
CXRI11,Híbrido,1000.2500000000001,63.0,7.0,0.6617,0.7779,0.7555,0.7115,0.6617,0.0,0.6617,0.6617,166746479.66,1058.2,94.52,5.715,0
CXTL11,Logística,482.02,34.0,1.5423,0.3193,0.1638,0.1154,0.1448,0.3193,0.0,0.3193,0.3193,50737569.81,946.65,50.92,5.715,4
DOMC11,Lajes Corporativas,550.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3499,4.3499,-9.9982,244251602.3,999.47,55.03,23.44,1
DRIT11B,Lajes Corporativas,161.0,13.0,0.67,0.4161,0.5035,0.5411,0.673,0.4161,0.0,0.4161,0.4161,57875054.67,124.93,128.88,7.6,4
EDFO11B,Lajes Corporativas,289.95,81.0,1.7934,0.6293,0.6267,0.6321,0.6062,0.6293,0.0,0.6293,0.6293,42117945.12,178.47,162.47,6.96,1
EDGA11,Lajes Corporativas,48.49,0.0,0.394,0.8139,0.7403,0.5907,0.4103,4.9242,7.8912,8.7694,4.8173,326110397.19,85.55,56.68,19.5,1
EURO11,Logística,161.0,333.0,0.74,0.4639,0.4513,0.5051,0.5263,0.4639,0.0,0.4639,0.4639,122642167.94,319.43,50.4,37.21,6
